ID;Link;Aussagen;Aussagennummer
;#NV;K2 wird zwingend gebraucht, damit sich Calcium nicht in Form von Plaque in den Blutgefäßen ablagert.;47
;#NV;Vitamin D Supplemente ohne K2 schaden mehr, als sie helfen.;48
;#NV;Der Vitamin D3-Status von Kindern sollte über ein Blutbild überprüft werden.;49
;#NV;Es sollte sichergestellt werden, dass bei dem Vitamin D3, auch ein K2 enthalten ist.;50
20;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Eltern müssen ihre Kinder mit Vitamin D Supplementen versorgen.;51
;#NV;Wenn Kinder nicht mit Vitamin D versorgt werden, werden diese kein vernünftiges Knochenskelett entwickeln.;52
;#NV;Bis zum 25. Lebensjahr muss die Entwicklung des Knochenskeletts abgeschlossen sein.;53
;#NV;Wenn die Entwicklung des Knochenskeletts nicht vernünftig abläuft, werden die Kinder keine vernünftige Knochendichte haben.;54
;#NV;Wenn Kinder keine vernünftige Knochendichte haben werden sie zum Beispiel später schneller in den Bereich der Osteoporose kommen.;55
;#NV;Es ist wichtig Kindern auch im Sommer Vitamin D Supplemente zu geben.;56
;#NV;Eine Dosis von 1000 IE Vitamin D pro 10 kg Körpergewicht in Bezug auf Kinder wird empfohlen.;57
;#NV;Vitamin D sollte am besten mit Vitamin K2 kombiniert werden.;58
21;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D is famous for making strong bones.;59
;#NV;Vitamin D is famous for making strong teeth. ;60
;#NV;Vitamin D is really important for the child's immune system. ;61
;#NV;People who have enough vitamin D in their system get less colds than people who don't. ;62
;#NV;Making a child get enough vitamin D is often achieved through supplements.;63
;#NV;Making a child get enough vitamin D will help your child stay healthy. ;64
22;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Babys dürfen im ersten Lebensjahr nicht in die direkte Sonne.;65
;#NV;Babys brauchen im ersten Lebensjahr im Sommer Vitamin-D-Präparate, da sie nicht in die direkte Sonne dürfen.;66
;#NV;Ab dem zweiten Lebensjahr brauchen Kinder im Sommer kein Vitamin-D-Präparate, da sie dann ganz kurz in die Sonne gehen können.;67
24;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D ist wichtig.;68
;#NV;Die unkontrollierte Einnahme von Vitamin D Supplementen kann bei Säuglingen zu hohen Calciumwerten führen.;69
;#NV;Die unkontrollierte Einnahme von Vitamin D Supplementen kann bei Säuglingen zu einer Schädigung der Niere führen.;70
;#NV;Die unkontrollierte Einnahme von Vitamin D Supplementen kann bei Säuglingen zu der Supprimierung des Parathormons führen.;71
;#NV;Für Säuglinge wird eine Vitamin D Dosis von 500 IE empfohlen.;72
;#NV;Die Einnahme von Vitamin D-Präparaten mit einer Dosis von 40.000 IE über einen Zeitraum von 5 Monaten kann bei Kindern zu einem 80-fach erhöhtem Vitamin D Spiegel führen.;73
;#NV;Die Einnahme von Vitamin D-Präparaten mit einer Dosis von 40.000 IE über einen Zeitraum von 5 Monaten kann bei Kindern zu einer massiven Entgleisung der Elektrolyte (vor allem vom Calcium) führen.;74
;#NV;Es ist logisch, dass die Einnahme von Vitamin D-Präparaten mit einer Dosis von 40.000 IE über einen Zeitraum von 5 Monaten bei Kindern zu einer Nierenschädigung führt.;75
;#NV;Vitamin D wird von manchen Hausärzten viel zu niedrig dosiert. ;76
;#NV;Unkontrolliert auf Empfehlung von Laien, ein Nahrungsergänzungsmittel in öliger Form dem Kind in dieser Dosis (40.000 IE Vitamin D) zu geben, ist nicht empfehlenswert.;77
;#NV;Es ist nicht empfehlenswert Vitamin D auf Teufel komm raus zu geben, wenn Unsicherheiten hinsichtlich der Dosis an Vitamin D bestehen und vielleicht der Kinderarzt, Kinderärztin nicht so adäquat die Antwort gibt, die erwartet wird.;78
;#NV;Vitamin D ist gesund.;79
;#NV;Vitamin D ist lebenserhaltend.;80
;#NV;Nahrungsergänzungsmittel, wie Vitamin D können in der Überdosierung toxisch werden und haben dann signifikante Nebenwirkungen.;81
51;https://www.instagram.com/reel/DDW28MNtSih/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Für die gesunde Entwicklung von Kindern sind Vitamine absolut entscheidend.;82
;#NV;Für das Wachstum von Kindern sind Vitamine absolut entscheidend.;83
;#NV;Vitamin D gehört zu den wichtigsten Nährstoffen für Kinder.;84
;#NV;Die Sonne ist eine Quellen von Vitamin D.;85
;#NV;Fisch ist eine Quellen von Vitamin D.;86
;#NV;Vitamin D ist unerlässlich für gesunde Knochen.;87
;#NV;Der Großteil von Vitamin D wird durch das Sonnenlicht gebildet.;88
;#NV;Fettreiche Fische wie Lachs und Hering liefern Vitamin D.;89
;#NV;Pilze liefern Vitamin D.;90
;#NV;Es ist empfehlenswert öfter raus in die Sonne zu gehen. (Reel bezieht sich auf Kinder);91
;#NV;Es ist empfehlenswert ab und zu Seefisch zu essen. (Reel bezieht sich auf Kinder);92
48;https://www.instagram.com/reel/DDW28MNtSih/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Naturbelassener Lebertran ist eine hervorragende Quelle für essentielle Nährstoffe wie z.B. Vitamin D.;93
;#NV;Ideal ist die Gabe von Lebertran beginnend zwischen dem vierten und sechsten Monat, idealerweise vor dem Beikoststart.;94
37;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Die Osteomalazie bei Kindern wird Rachitis genannt.;95
;#NV;Rachitis entsteht, wenn nicht genügend Vitamin D3 gebaut wird.;96
;#NV;Rachitis entsteht, wenn nicht genügend Calcitriol gebaut wird.;97
;#NV;Die Rachitis wird auch als englische Krankheit bezeichnet, weil dort noch weniger Sonneneinstrahlung ist.;98
;#NV;Die Rachitis wird auch als englische Krankheit bezeichnet, weil in den Ballungsgebieten die Kinder eher im Hinterhof spielen als vorne, wo die Sonne scheint, an der Schnellstraße. ;99
;#NV;Vitamin D2 wird über die pflanzliche Nahrung aufgenommen.;100
;#NV;Es gibt zu wenig Sonnenstrahlung, und dadurch kann kein Vitamin D produziert werden.;101
;#NV;Ohne die Produktion von Vitamin D wird kein Hormon D-Calcitriol gebaut.;102
;#NV;Wenn kein Hormon D-Calcitriol gebaut wird fällt die enterale Resorption von Calcium weg. ;103
;#NV;Wenn die enterale Resorption von Calcium weg fällt müssen Parathormonen angreifen, um Calcium aus den Knochen rauszuziehen.;104
;#NV;Bei Rachitis kommt es zu einer Knochenerweichung.;105
;#NV;Man spricht von einer Rachitis, wenn kein Vitamin D produziert werden kann und dadurch kein Hormon D-Calcitriol gebaut wird und dadurch die enterale Resorption von Calcium wegfällt und dadurch Parathormonen angreifen müssen, um Calcium aus den Knochen rauszuziehen. ;106
47;https://www.instagram.com/reel/DDW28MNtSih/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Doctors tell mothers to supplement their babies with vitamin D because their breast milk is deficient. ;107
;#NV;Low vitamin D in breast milk is crucial for a baby's  mental health.;108
;#NV;Low vitamin D in breast milk is crucial for a baby's physical development.;109
;#NV;Breast milk is naturally dominant in retinol over vitamin D because it's crucial for copper bioavailability.;110
;#NV;Breast milk is naturally dominant in retinol over vitamin D because it's crucial for iron management.;111
;#NV;Suppressing vitamin A activity in a baby with high vitamin D dosages causes hypercalcemia.;112
;#NV;Suppressing vitamin A activity in a baby with high vitamin D dosages causes systemic inflammation.;113
;#NV;Hypercalcemia in babies results in asthma.;114
;#NV;Hypercalcemia in babies results in eczema.;115
;#NV;Systemic inflammation in babies results in worse outcomes than asthma and eczema. ;116
;#NV;Vitamin D supplements as a single compound without further context result in immune system dysregulation by default, especially in babies. ;117
;#NV;Breast milk is not deficient in anything in a healthy state.;118
;#NV;Vitamin D intoxication is one of the most common root causes for constantly sick children.;119
110;https://www.instagram.com/tv/CBm6RAvBhSz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D aktiviert die Nervenzellen.;120
;#NV;Die Einnahme von Vitamin D3 K2 Tropfen unterstützen bei Kindern das Immunsystem.;121
30;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D3 trägt zur normalen Funktion des Immunsystems bei.;122
;#NV;Vitamin D3 trägt zur Erhaltung normaler Zähne bei.;123
;#NV;Vitamin D3 und K2 sind das perfekte Duo, da sie synergetisch miteinander wirken. ;124
;#NV;Präparate mit Vitamin D3 und K2 stärken die normale Muskelfunktion.;125
;#NV;Präparate mit Vitamin D3 und K2 stärken das Immunsystem.;126
;#NV;Präparate mit Vitamin D3 und K2 stärken eine normale Blutgerinnung. ;127
;#NV;Geeignet ist es, die Vitamin D Tropfen ins Müsli, in ein Getränk oder auf einem Esslöffel zu geben.;128
69;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Ein Faktor dafür, dass Allergien bei neugeborenen Säuglingen zunehmen, ist eine mangelhafte Vitamin-D-Versorgung der Mutter während der Schwangerschaft. ;129
;#NV;Ein Faktor dafür, dass insbesondere Hautekzeme bei neugeborenen Säuglingen zunehmen, ist eine mangelhafte Vitamin-D-Versorgung der Mutter während der Schwangerschaft. ;130
;#NV;Ein niedriger Vitamin-D-Spiegel bei Neugeborenen ist für Ekzeme in den ersten 25 Lebensjahren mitverantwortlich.;131
;#NV;Die Schwangerschaft steigert das Risiko des Neugeborenen für die Entwicklung von Ekzemen.;132
;#NV;Wenn der Vitamin-D-Spiegel von Neugeborenen mit erhöhtem Allergie-Risiko leicht erhöht wird, dann geht mit jeder Erhöhung des Spiegels nach 25 Jahren eine Senkung des Risikos für Ekzeme einher.;133
;#NV;Vitamin D-Präparate werden während der Schwangerschaft gegeben, um das Risiko von Ekzemen zu senken.;134
;#NV;Um den Vitamin D-Spiegel während der Schwangerschaft zu messen ist der freie Vitamin-D-Spiegel geeignet, weil ansonsten verfälschte Werte (während der Schwangerschaft) herauskommen können. ;135
96;https://www.instagram.com/tv/CBm6RAvBhSz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Die Sonne und Ernährung versorgen Kinder nicht genug mit Vitamin D.;136
;#NV;Wenn Eltern glauben, dass ihr Kind genug Vitamin D durch Sonne oder Ernährung bekommt, dann gehören diese wahrscheinlich zu den meisten Eltern, die das Unterschätzen.;137
;#NV;Es kann gefährlich sein zu den Eltern zu gehören, die glauben, dass ihr Kind genug Vitamin D durch Sonne oder Ernährung bekommt.;138
;#NV;Vitamin D ist kein normales Vitamin, sondern ein Hormon.;139
;#NV;Der Körper bildet Vitamin D mithilfe von Sonnenlicht.;140
;#NV;Bei Babys ist Vitamin D enorm wichtig für starke Knochen.;141
;#NV;Bei Kleinkindern ist Vitamin D enorm wichtig für starke Knochen.;142
;#NV;Bei Babys ist Vitamin D enorm wichtig für ein gesundes Wachstum.;143
;#NV;Bei Kleinkindern ist Vitamin D enorm wichtig für ein gesundes Wachstum.;144
;#NV;Bei Babys ist Vitamin D enorm wichtig für ein stabiles Immunsystem. ;145
;#NV;Bei Kleinkindern ist Vitamin D enorm wichtig für ein stabiles Immunsystem. ;146
;#NV;Ohne Vitamin D kann Calcium nicht richtig in die Knochen eingebaut werden.;147
;#NV;Wenn Vitamin D fehlt, kann das zu Rachitis führen.;148
;#NV;Rachitis ist eine Störung des Knochenwachstums.;149
;#NV;Bei Rachitis bleiben die Knochen weich.;150
;#NV;Bei Rachitis verbiegen sich die Knochen leicht.;151
;#NV;Es wird in Deutschland empfohlen, dass Babys ab dem 5. bis 7. Lebenstag täglich durchgehend im ersten Lebensjahr etwa 400 bis 500 Einheiten Vitamin D in Form von kleinen Tabletten oder Tropfen bekommen sollen, um Rachitis zu verhindern.;152
;#NV;Im zweiten Lebensjahr wird nicht mehr automatisch für alle Kinder die Supplementation von Vitamin D empfohlen. ;153
;#NV;Ob Vitamin D im zweiten Lebensjahr supplementiert werden sollte, hängt davon ab, wie viel Sonne das Kind täglich bekommt oder wie oft es draußen unterwegs ist und deswegen werden tägliche Gaben hier nicht immer automatisch empfohlen. ;154
;#NV;Bei Kindern, die im Winter ihren ersten Geburtstag feiern, sollte die Vitamin D-Prophylaxe bis zum nächsten Frühling weitergeführt werden. ;155
;#NV;Bei Kindern mit dunklerer Hautfarbe kann es schwieriger sein, in unseren Breitengraden genug Vitamin D zu bilden (bezogen auf Deutschland).;156
;#NV;Ob eine Fortsetzung der Gabe sinnvoll ist, sollte immer individuell mit der Kinderärztin oder dem Kinderarzt besprochen werden.;157
;#NV;Vitamin D steckt auch in Lebensmitteln.;158
;#NV;Vitamin D ist in zu geringen Mengen in Lebensmitteln enthalten, um den Bedarf zu decken.;159
;#NV;Ein Kind müsste jeden Tag Fisch essen um den Bedarf an Vitamin D zu decken. ;160
;#NV;Ein Kind müsste jeden Tag 10 Eier essen, um den Bedarf an Vitamin D zu decken. ;161
;#NV;Vitamin D ist kein Trend, sondern eine Grundlage für gesunde Entwicklung.;162
;#NV;Die Gabe von Vitamin K2, zusätzlich zur Vitamin D-Gabe, wird für Kinder nicht empfohlen.;163
71;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D is one mandatory supplement that has to be given from 0 to 1 year.;164
;#NV;Giving vitamin D from 0 to 1 year has the benefit of helping in calcium absorption.;165
;#NV;Vitamin D has a lot of role in building the child's immunity.;166
;#NV;Vitamin D has a lot of role in the development of the child. ;167
;#NV;For a healthy term baby, vitamin D3 is the only supplement that is needed.;168
76;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Babys sollten Vitamin D Präparate gegeben werden.;169
;#NV;Vitamin D Präparate sollten ab der Geburt gegeben werden. (Regel 1);170
;#NV;Babys sollen keine Vitamin D Präparat einnehmen, in welchen Fluorid enthalten ist. ;171
;#NV;Vitamin D3 soll nicht alleine genommen werden, sondern immer mit K2 kombiniert werden. (Regel 2);172
;#NV;Vitamin D3, K2 ist fettlöslich.;173
;#NV;Vitamin D3, K2 sollte unbedingt mit zum Beispiel Omega 3 oder zu einer Mahlzeit eingenommen werden. (Regel 3);174
;#NV;Für Babys ist die Einnahme von Omega 3, Vitamin D3, K2 und Magnesium zusammen geeignet, da sich diese drei prima ergänzen und das super mit der Aufnahme funktioniert.;175
91;https://www.instagram.com/reel/DPbyvDoCKjA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Breast milk doesn't give a baby enough vitamin D. ;176
;#NV;Babies can't safely get enough sunlight to get enough vitamin D.;177
;#NV;It is recommended that babies be given 400 IU of vitamin D daily, because they cannot get enough vitamin D from sunlight and breast milk. ;178
;#NV;A vitamin D supplement is essential for strong bones.;179
;#NV;A vitamin D supplement is essential for strong teeth.;180
;#NV;A vitamin D supplement is essential for calcium absorption.;181
;#NV;A vitamin D supplement is essential for supporting the immune system. ;182
;#NV;It is suitable to give one tiny drop of vitamin D a day into a baby's water, food, or even straight on a spoon.;183
;#NV;For best absorption, pair vitamin D with a healthy fat like avocado.;184
;#NV;For best absorption, pair vitamin D with a healthy fat like Greek yogurt.;185
;#NV;For best absorption, pair vitamin D with a healthy fat like bone marrow. ;186
;#NV;Vitamin D supplements, which are made with organic MCT oil, are well absorbed by babies on their own.;187
;#NV;Vitamin D supplements containing preservatives are less suitable for babies than those without. ;188
;#NV;Vitamin D supplements containing artificial flavors are less suitable for babies than those without. ;189
;#NV;Vitamin D supplements containing common allergens are less suitable for babies than those without. ;190
103;https://www.instagram.com/tv/CBm6RAvBhSz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D hat eine große Bedeutung, die jedem bekannt sein sollte.;191
;#NV;Gerade in der Schwangerschaft ist Vitamin D extrem wichtig für die Zukunft des Kindes. ;192
;#NV;Fehlgeburten haben nicht nur, aber auch mit der Vitamin D Versorgung der werdenden Mutter zu tun. (Es besteht ein Zusammenhang);193
;#NV;Frühgeburten haben nicht nur, aber auch mit der Vitamin D Versorgung der werdenden Mutter zu tun. (Es besteht ein Zusammenhang);194
;#NV;Kardiovaskuläre Erkrankungen, haben nicht nur, aber auch mit der Vitamin D Versorgung der Mutter während der Schwangerschaft zu tun. (Es besteht ein Zusammenhang);195
;#NV;Autoimmunerkrankungen haben nicht nur, aber auch mit der Vitamin D Versorgung der Mutter während der Schwangerschaft zu tun. (Es besteht ein Zusammenhang);196
;#NV;Fettleibigkeit hat nicht nur, aber auch mit der Vitamin D Versorgung der Mutter während der Schwangerschaft zu tun. (Es besteht ein Zusammenhang);197
;#NV;Bei der Messung des Vitamin D Spiegels, wird für gewöhnlich das Gesamtvitamin D gemessen.;198
;#NV;Das Gesamtvitamin D besteht aus Vitamin D an Bindungsprotein gebunden, Vitamin D an Albumin gebunden und aus einem ganz kleinen Teil bioaktivem, freiem Vitamin D.;199
;#NV;Der kleine Teil an bioaktivem, freiem Vitamin D im Gesamtvitamin D ist entscheidend bei der Messung des Spiegels. ;200
;#NV;In der Schwangerschaft steigt der Östradiol Spiegel an.;201
;#NV;Wenn der Östradiol Spiegel ansteigt, dann steigt die Produktion des Vitamin D Bindungsproteins an. ;202
;#NV;Wenn die Produktion des Vitamin D Bindungsproteins ansteigt, bedeutet das, dass der Gesamtvitamin D Spiegel ansteigt, obwohl das freie bioaktive Vitamin D relativ konstant bleibt.;203
;#NV;Schwangere könnten rein theoretisch einen relativ guten Wert des Gesamtvitamin D haben, aber einen geringen, zu kleinen, zu tiefen Wert von bioaktivem, freiem Vitamin D. ;204
;#NV;In der Schwangerschaft könnte man zur noch besseren Differenzierung der Vitamin D Versorgung das bioaktive, freie Vitamin D messen.;205
75;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Exclusively breastfed infants need to be supplemented with vitamin D.;206
;#NV;Vitamin D helps support healthy bone development.;207
;#NV;Vitamin D helps prevent something called rickets.;208
;#NV;Rickets is a condition that causes weak bones in babies.;209
;#NV;Rickets is a condition that causes deformed bones in babies.;210
;#NV;Breast milk alone does not provide enough vitamin D for babies. ;211
;#NV;It's recommended to supplement breastfed babies with 400 IUs of vitamin D daily, starting within the first few days of life.;212
;#NV;It's suitable to get a baby-specific vitamin D supplement.;213
;#NV;If a baby is exclusively breastfed at the breast, the mother could put a drop on her nipple. ;214
;#NV;If a baby is getting bottles, a drop could be put in their bottle.;215
61;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;If a baby is exclusively breastfed, vitamin D is a recommended supplement to support healthy growth.;216
;#NV;If a baby is exclusively breastfed, vitamin D is a recommended supplement to support healthy bone development. ;217
;#NV;One drop of vitamin D provides the recommended daily amount of vitamin D. ;218
;#NV;Vitamin D supplementation should start from day one.;219
29;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D is also called the sunshine vitamin.;220
;#NV;Many babies need an extra boost of vitamin D, often in the form of a supplement. ;221
;#NV;Babies may get vitamin D through a liquid vitamin D supplement, or if the caregiver is nursing, then they can take a higher dose vitamin D supplement.;222
;#NV;Vitamin D supplementation for babies should be done under clinical supervision. ;223
;#NV;Vitamin D isn't a nutrient that's found in a lot of foods.;224
;#NV;If a baby has a deficiency, it is recommended to lean on that vitamin D supplement.;225
;#NV;There are a few foods that do have vitamin D, like oily fish.;226
;#NV;There are a few foods that do have vitamin D, like egg yolks.;227
;#NV;There are a few foods that do have vitamin D, like oily fish, egg yolks, and UV treated mushrooms.;228
;#NV;There are a few foods that do have vitamin D, like some vitamin D fortified foods. ;229
;#NV;Vitamin D is known as a sunshine vitamin.;230
;#NV;It's important to actually limit sun exposure for a baby, due to the increased risk of dehydration.;231
;#NV;It's important to actually limit sun exposure for a baby, due to the increased risk of sunburns. ;232
;#NV;Vitamin D supports bone health.;233
;#NV;Vitamin D may help with immune health.;234
;#NV;Vitamin D may help with hormone health.;235
;#NV;Vitamin D may help with more apart from immune health and hormone health.;236
;#NV;It's really common to have low vitamin D levels.;237
74;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;X-rays from forearms of children with rickets may show that the ends of the bones, kind of where the growth plates are, are flared out like really wide.;238
;#NV;Rickets is a low vitamin D level.;239
;#NV;We see rickets in babies who are breastfed and not given vitamin D Supplementation. ;240
;#NV;A vitamin D level of less than 3 is low. ;241
;#NV;Vitamin D is important for calcium absorption.;242
;#NV;A vitamin D deficiency can lead to low calcium levels.;243
;#NV;Since it is known that maternal breast milk is low in vitamin D, it is recommended that infants who are fed breast milk start taking vitamin D supplements in the first few days of life.;244
;#NV;It is generally recommended to take about 400 units of vitamin D per day so babies getting rickets can be avoided. ;245
;#NV;If a little guy with rickets has a fracture from a low mechanism fall, it was probably because of the rickets.;246
;#NV;If a baby is receiving breast milk, it is recommended to talk to a pediatrician about supplementing with vitamin D. ;247
105;https://www.instagram.com/tv/CBm6RAvBhSz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Es ist Schulmedizinisch anerkannt, dass Säuglingen zur Rachitisprophylaxe Vitamin D gegeben wird. ;248
;#NV;Es ist Schulmedizinisch anerkannt, dass Vitamin D Säuglingen für die Knochenbildung gegeben wird.;249
87;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;For children with autism, a test that needs to get done is a measure of vitamin D levels.;250
;#NV;Vitamin D affects how the brain neurons connect with each other.;251
;#NV;Vitamin D affects how children communicate. ;252
;#NV;If a child's vitamin D is low, there are chances there might be delays in speech.;253
58;https://www.instagram.com/reel/DEpcdwnpfoc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;In den ersten 12 bis 18 Lebensmonaten, also bis zum zweiten Frühsommer, sollte laut offiziellen Empfehlungen täglich Vitamin D gegeben werden. ;254
;#NV;Viele Eltern setzten nach den ersten 12 bis 18 Lebensmonaten, also bis zum zweiten Frühsommer, das Vitamin D ab, oft auf Anraten eines Arztes. ;255
;#NV;Es ist falsch, dass viele Eltern nach den ersten 12 bis 18 Lebensmonaten, also bis zum zweiten Frühsommer, das Vitamin D absetzten.;256
;#NV;Eine tägliche Vitamin D Substitution jenseits des zweiten Lebensjahres bringt Vorteile, wie die Vermeidung von Rachitis mit sich.;257
;#NV;Eine tägliche Vitamin D Substitution jenseits des zweiten Lebensjahres bringt Vorteile, wie die Vermeidung von Autoimmunerkrankungen mit sich.;258
;#NV;Eine tägliche Vitamin D Substitution jenseits des zweiten Lebensjahres bringt Vorteile, wie die Vermeidung von Asthma Bronchial und ähnlichen Erkrankungen mit sich.;259
;#NV;In Wintermonaten ist viel zu wenig Sonnenlicht da, um genügend Vitamin D zu bilden (Standort des Kontos: Deutschland). ;260
