ID;Link;Aussagen
56;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Bei Lebensmitteln mit starken Gewürzen muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Bei Lebensmitteln mit Gewürzen allgemein muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Die Zunge eines Babys ist sehr empfindlich 
;#NV;Starke Gewürze können bei Babys Schmerzen verursachen
;#NV;Besser als scharfe Gewürze sind für Babys milde Gewürze, zum Beispiel wie Zimt, Kurkuma oder Basilikum
;#NV;Bei Salz muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Bei salzhaltigen Lebensmitteln muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Babys dürfen im ersten Lebensjahr circa 1 Gramm Salz pro Tag essen
;#NV;Lebensmittel wie zum Beispiel Wurst, die sehr salzhaltig sind, sollten eher vermieden oder gar nicht gegeben werden
;#NV;Lebensmittel wie zum Beispiel Wurst, die viele Zusatzstoffe enthalten, sollten eher vermieden oder gar nicht gegeben werden
;#NV;Es ist vollkommen in Ordnung Nudelwasser oder Kartoffelwasser zu salzen
;#NV;Ab dem ersten Geburtstag darf die Salzzufuhr leicht gesteigert werden 
;#NV;Ab dem ersten Geburtstag sind bis zu 2 Gramm Salz pro Tag erlaubt 
;#NV;Bei rohen Tiefkühlbeeren muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Bei rohem Getreide muss bei Babys im ersten Lebensjahr besonders aufgepasst werden
;#NV;Rohe Tiefkühlbeeren sollten immer gut erhitzt werden, um Keime abzutöten 
;#NV;Rohes Getreide sollten immer gut erhitzt werden, um Keime abzutöten 
;#NV;Pseudogetreide wie Quinoa oder Hirse sollten immer gut gewaschen und gut weich gekocht werden 
;#NV;Gut gewaschen und gut weich gekocht sind Pseudogetreide wie Quinoa oder Hirse super geeignet für die Beikost
23;#NV;There are eight main categories of allergens 
;#NV;Peanuts are one main categories of allergens 
;#NV;Tree nuts are one main categories of allergens 
;#NV;fish is one main categories of allergens 
;#NV;shellfish is one main categories of allergens 
;#NV;Eggs are one main categories of allergens 
;#NV;Dairy is one main categories of allergens 
;#NV;Soy is one main categories of allergens 
;#NV;Wheat is one main categories of allergens 
;#NV;allergens should be introduced into a baby's diet by doing one allergen at a time
;#NV;The exact same allergen should be given for at least three days in a row without introducing any other new foods
;#NV;No new foods should be given during the introduction of an allergen, so there's no confusion if there is a reaction about what they are reacting to
;#NV;After at least three days of allergen exposure the next allergen can be introduced
;#NV;It is recommended to continue exposing babies to the allergen after the introduction
;#NV;Studies have shown that early introduction of allergens has been linked to a decreased likelihood of food allergies later in life
;#NV;It is a suitable approach to introduce allergens at 6 months
;#NV;Six month is the perfect age to intoduce allergens because usually babies are already eating purees consistently 
;#NV;Six month is the perfect age to intoduce allergens because they're old enough to get some medication in case they do have an allergic reaction 
;#NV;peanut butter does not need to be given in the waiting room or parking lot of an emergency room
;#NV;Anaphylaxis is very, very rare in babies, especially with the first exposure of the food
;#NV;Severe, allergic reactions are very, very rare in babies, especially with the first exposure of the food
;#NV;After the allergen is given for the first time, the baby should be monitored very closely, especially for signs of rash 
;#NV;After the allergen is given for the first time, the baby should be monitored very closely, especially for signs of hives
;#NV;If a baby develops a rash after eating a new food,  that food should not be given again 
;#NV;If a baby develops a rash after eating a new food medication based on their age and weight can be given 
;#NV;If a baby does have a reaction to something the doctor should be contacted immediately
69;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;Es sollte darauf geachtet werden, dass Lebensmittel keine Verschluckungsgefahr mit sich bringen
;#NV;Es gibt einige Lebensmittel, die aufgrund einer potenziellen Gesundheitsgefährdung für Babys nicht empfohlen sind 
;#NV;Es gibt nur ganz wenige Lebensmittel, die Babys in der Beikostzeit nicht bekommen dürfen
;#NV;Honig sollte bis zum ersten Geburtstag gemieden werden
;#NV;Ahornsirup sollte bis zum ersten Geburtstag gemieden werden
;#NV;Maissirup sollte bis zum ersten Geburtstag gemieden werden
;#NV;Rohe tierische Lebensmittel, also Rohmilchprodukte, rohe oder nicht durchgegarte Eier, rohes Fleisch, Salami sind bis zum fünften Geburtstag nicht empfohlen
;#NV;Rohe tierische Lebensmittel können Keime enthalten, die das kindliche Immunsystem überfordern können 
;#NV;Quinoa ist ein Pseudogetreide
;#NV;Amaranth ist ein Pseudogetreide
;#NV;Buchweizen ist ein Pseudogetreide
;#NV;Speziell Buchweizen sollte zurückgestellt werden
;#NV;Es gibt Hinweise, dass Buchweizen allergiefördernd sein könnte
;#NV;Pseudogetreide enthalten gewisse Stoffe, die die Aufnahme guter Nährstoffe beeinträchtigen
;#NV;Pseudogetreide außer Buchweizen sollte erst ab dem zweiten Lebensjahr gegeben werden
;#NV;Buchweizensollte erst ab dem dritten Lebensjahr gegeben werden
;#NV;Fenchelsamen, wie sie zum Beispiel auch in Fencheltee enthalten sind, sind bis zum vierten Geburtstag komplett zu meiden
;#NV;Die Fenchelknolle ist kein Problem in der Beikostzeit
;#NV;Fenchelsamen enthalten Estragol
;#NV;Estragol ist ein potenziell leberschädigender Stoff
1;#NV;food sould be soft enough for babies to eat without any teeth
;#NV;It is not necessary to wait until babies get their teeth to serve them finger foods
;#NV;If food passes the squish test, it's safe enough for baby to eat with no teeth
;#NV;food should be severd at the age-appropriate size
;#NV;from six to nine months larger stick-shaped finger foods should be served
;#NV;small pieces of food should not be served until baby is around nine to ten months old and has developed their pincer grasp 
;#NV;pincer grasp means babies can pick up small pieces of food between their fingers
;#NV;If a baby is struggling with chewing or swallowing the finger foods, sticks should be served again because those are going to teach how to chew
100;https://www.instagram.com/p/DBik7EpOsrT/?hl=de;It is recommended that baby's first food should be meat 
;#NV;the recommended first food swiched from iron fortified cereal to meat
;#NV;It is a suitble approach not to give any grains to a baby
;#NV;It is a suitble approach not to give dairy to a baby
;#NV;It is a suitble approach not to give soy to a baby
;#NV;It is a suitble approach if a babies diet consists of 80 % meat and fruit
22;#NV;Babies need iron
;#NV;Not having enough iron will cause developmental delay
;#NV;Not having enough iron will cause lots of issues
;#NV;Most iron fortified foods like baby cereals have non-heme type of iron
;#NV;Non-heme type of iron is the type of which only 5% gets absorbed
;#NV;Non-heme type of iron has a very low absorption 
;#NV;Meat has heme type of iron
;#NV;Poultry has heme type of iron
;#NV;Heme type of iron is six times more absorbable than non-heme type of iron 
;#NV;bone marrow is a great option for babies starting out on solid foods
;#NV;Bone marrow has highly absorbable iron
;#NV;Bone marrow has lots of vitamins
;#NV;Bone marrow has minerals 
;#NV;Bone marrow has healthy fats like omega-3s
;#NV;Highly absorbable iron is awesome for brain development
;#NV;Vitamins are awesome for brain development
;#NV;Minerals are awesome for brain development
;#NV;Healthy fats like omega-3s are awesome for brain development
;#NV;Bone marrow is not for babies less than six months 
;#NV;Bone marrow needs to be pureed so it's not a choking hazard
75;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;Eier gehören zu den potenziellen allergiegefährlichen Lebensmitteln
;#NV;Es wird empfohlen, Eier ab Beikostreifezeichen anzubieten 
;#NV;Es ist wichtig, dass die Eier komplett durchgegart oder durchgebraten sind
;#NV;Eier können in Form von Omelettstreifen angeboten werden
;#NV;Eier können gebacken in Waffeln angeboten werden
;#NV;Eier können gebacken in Pancakes angeboten werden
;#NV;Eier können als French Toast angeboten werden
;#NV;1-2 Eier die Woche sind für Babys ab Beikostreifezeichen geeignet 
19;#NV;Muttermilch hemmt die Eisenaufnahme nicht 
;#NV;Muttermilch fördert die Eisenaufnahme 
;#NV;Durch Inhaltsstoffe der Muttermilch wie Laktose, Vitamin C und besonders Lactoferrin wird Eisen viel besser aufgenommen
;#NV;Lactoferrin bindet Eisen und bringt es dann direkt zu den Rezeptoren im Darm
;#NV;Muttermilch enthält sehr wenig Eisen
;#NV;Ab dem 6. Monat circa kann ein Eisenmangel entstehen, weil die Eisenspeicher aus der Schwangerschaft dann langsam leer sind, deshalb ist Eisen ab dem Beikosstart super wichtig 
;#NV;Eisen kann ab Beikoststart durch Fleisch gegeben werden
;#NV;Eisen kann ab Beikoststart durch Hülsenfrüchte gegeben werden
;#NV;Eisen kann ab Beikoststart durch Hirse gegeben werden
;#NV;Eisen kann ab Beikoststart durch Eisenbreie gegeben werden
;#NV;Kuhmilch enthält wenig Eisen 
;#NV;Kuhmilch kann die Eisenaufnahme bremsen
;#NV;Wenn ein Kind mit 1,5 Jahren normal isst und ab und zu gestillt wird ist das in Bezug auf die Eisenaufnahme völlig unproblematisch
51;#NV;Es stimmt nicht, dass Babys bei der U4 schon mit Brei beginnen sollen, um besser zu schlafen 
;#NV;Ein Beikostreifezeichen ist, dass das Kind keinen Zungestoßreflex mehr hat, um Nahrung aus dem Mund rauszutransportieren
;#NV;Ein Beikostreifezeichen ist, dass das Kind eine klare Hand-Mund-Koordination hat
;#NV;Hand-Mund-Koordination bedeutet, dass das Kind beide Hände zusammenführen und zum Mund führen kann 
;#NV;Ein Beikostreifezeichen ist, dass das Baby mit ein bisschen Unterstützung relativ sicher sitzen kann 
;#NV;Ein Beikostreifezeichen ist, dass das Baby den Kopf gut halten kann 
;#NV;Eine allgemeine Beikostbereitschaf,t in Form von guter laune, einer Spielphase und Interesse, etwas Neues zu lernen, ist wichtig 
;#NV;Bei der Beikost geht es ums Lernen und nicht darum, dass der Hunger gestillt wird
;#NV;Beim Baby-Led-Weaning wird stückiges Essen gegeben
;#NV;Mit Baby-Led-Weaning beginnt man später als mit Brei
;#NV;Für das Baby-Led-Weaning sollte das Kind selber sitzen können
81;https://www.instagram.com/p/DPtmjW0Ajnd/?hl=de;Muttermilch bleibt die Hauptnahrung im ersten Lebensjahr
;#NV;Zwischen dem sechsten und achten Monat reicht eine Mahlzeit pro Tag aus, manchmal auch mit Pausen dazwischen
;#NV;In der Beikostzeit geht es nicht darum, wie viel ein Baby isst, sondern was
;#NV;Schon winzige Mengen Fleischbrühe können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen Ghee können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen Knochenmark können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen Lebertran können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen zartgegartes Eigelb können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen Fleisch können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen fermentierter Lebensmittel können Babys wertvolle Fette liefern
;#NV;Schon winzige Mengen Fleischbrühe können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen Ghee können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen Knochenmark können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen Lebertran können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen zartgegartes Eigelb können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen Fleisch können Babys aufbauende Nährstoffe liefern
;#NV;Schon winzige Mengen fermentierter Lebensmittel können Babys aufbauende Nährstoffe liefern
;#NV;In der Beikostzeit braucht ein Baby Fette und aufbauende Nährstoffe
;#NV;Beikost ist eine Ergänzung, kein Ersatz für Muttermilch 
;#NV;In der Beikostzeit sollte dem Tempo des Babys gefolgt werden, nicht einem Plan 
;#NV;Durch die Orientierung am Tempo des Babys in der Beikostzeit entseht Vertrauen
;#NV;Durch die Orientierung am Tempo des Babys in der Beikostzeit entseht eine gesunde Basis fürs Leben
90;https://www.instagram.com/p/DBik7EpOsrT/?hl=de;A long time ago people suggested not introducing allergen-provoking foods like peanuts to babies
;#NV;The recommendation not to introduce allergen-provoking foods to babies has recently been completely revoked
;#NV;The advice now ist that parents should introduce allergens early
;#NV;The advice now ist that parents should introduce allergens often
;#NV;Peanuts or peanut butter should be introduced to babies at an early age like 6 months 
;#NV;Peanuts or peanut butter should be introduced to babies watered down with formula or milk
;#NV;Peanuts or peanut butter should be introduced in small amounts 
50;#NV;Es wird empfohlen die ersten sechs Monate vollzustillen  
;#NV;Es wird empfohlen nach sechs Monaten nach und nach mit den ersten Mahlzeiten zu beginnen 
;#NV;Es gibt Kinder, die schon deutlich früher als nach 6 Monaten Reifezeichen aufweisen, weshalb man auch schon viel eher, mit frühestens abgeschlossenen vier Monaten, mit der Beikost starten könnte
;#NV;Sechs Reifezeichen zeigen, ob ein Kind schon bereit für feste Nahrung ist
;#NV;Ein Reifezeichen ist, dass das Kind seinen Kopf kontrollieren und selbstständig halten kann
;#NV;Ein Reifezeichen ist, dass das Kind bewusst Interesse am Essen zeigt und es dir wegnehmen möchte, aber nicht um damit zu spielen, sondern um es selbst zu essen
;#NV;Ein Reifezeichen ist, dass das Kind selbst zum Essen greift, automatisch den Mund aufmacht und sich das Essen selbst zum Mund führt
;#NV;Ein Reifezeichen ist, dass das Kind mit wenig Unterstützung aufrecht sitzen kann, zum Beispiel auf dem Schoß oder angelehnt in einem Hochstuhl
;#NV;Ein Reifezeichen ist, dass das Kind das Essen im Mund kontrolliert bewegen und von vorne nach hinten führen kann 
;#NV;Ob ein Kind Essen im Mund kontrolliert bewegen und von vorne nach hinten führen kann, sieht man an Mahl- und Kaubewegungen
;#NV;Ein Reifezeichen ist, dass der Zungenstoßreflex verschwunden ist
;#NV;Das Verschwinden des Zungestroßreflexes ist das deutlichste Reifezeichen 
;#NV;Falls ein Kind beim Essen die Nahrung mit der Zunge nach außen schiebt, ist der Zungenstoßreflex noch vorhanden 
;#NV;Bei Unsicherheit in Bezug auf die Reifezeichen sollte lieber länger gewartet als zu früh angefangen werden
;#NV;Die Reifezeichen können immer wieder getestet werden
;#NV;Kinder verziehen manchmal das Gesicht, weil sie den Geschmack des Essens nicht kennen 
;#NV;Kinder verziehen manchmal das Gesicht, weil die Konsistenz eklig für sie ist
;#NV;Beikost ist für Kinder manchmal total irritierend, weil sie nichts anderes kennen als Muttermilch
;#NV;Zum Thema Beikost kann sich von der Hebamme beraten werden lassen
;#NV;Zum Thema Beikost kann sich von Kinderärzt:innen beraten werden lassen
;#NV;Die Kosten für die Hebamme in der Beikost übernehmen die Krankenkassen 
85;https://www.instagram.com/p/DPtmjW0Ajnd/?hl=de;At 6-8 months the baby should get 2 meals and 1 snack
;#NV;Between 9-12 months 3-4 meals with 2 snacks should be introduced
;#NV;In meals wholesome options like ragi should be given to the baby
;#NV;In meals wholesome options like dal khichdi should be given to the baby
;#NV;In meals wholesome options like rice should be given to the baby
;#NV;In meals wholesome options like wheat should be given to the baby
;#NV;In meals wholesome options like broken wheat should be given to the baby
;#NV;In meals wholesome options like oats should be given to the baby
;#NV;In meals wholesome options like semolina should be given to the baby
;#NV;In snacks pureed fruits like apples, banana, chico, papaya can be offered
;#NV;In snacks mashed fruits a like apples, banana, chico, papaya can be offered
;#NV;In snacks pureed vegetables like carrots and pumpkin can be offered
;#NV;In snacks vegetables like like carrots and pumpkin can be offered
;#NV;At 6 months smooth purees can be introduced
;#NV;By 7 months lightly mashed textures can be given
;#NV;by 9 months and beyond semi-solid foods can be introduced
;#NV;by 9 months and beyond soft finger foods can be introduced
;#NV;At 6-7 months 3-4 tablespoons can be given
;#NV;Between 8-9 months it can be gradually increased to half a small bowl that is around 125 ml
;#NV;Between 10-12 months 1 small bowl around 250 ml can be served
;#NV;A pinch of flavou rcan be added with mild spices like jeera, turmeric, hing or cinnamon
;#NV;No sugar should be given before the baby is 1 year old
;#NV;No salt should be given before the baby is 1 year old
;#NV;No honey should be given before the baby is 1 year old
;#NV;Solids should be introduced slowly
;#NV;When introducing solids it should be watched out for allergies
;#NV;The baby should explore new tastes during the introduction of solid foods
;#NV;The baby should explore new textures during the introduction of solid foods
28;#NV;The ideal age to start solids is around 5 or 6 months of age but never before 4 months of age
;#NV;Before starting solids five signs of developmental readiness should be present in a baby
;#NV;One sign of develepmental readiness is that a  baby should have good consistent head control
;#NV;One sign of develepmental readiness is that a baby should be able to sit upright with support without falling forwards or sidewards
;#NV;One sign of develepmental readiness is that a baby shows interest in your food
;#NV;One sign of develepmental readiness is that a baby is able to grab food and put it in their mouth
;#NV;One sign of develepmental readiness is the loss of tongue thrust reflex
;#NV;The loss of the tongue thrust reflex means that when baby is offered food or spoon, they take it in instead of throwing it out
;#NV;The tongue thrust reflex is a normal protective reflex in babies in which they have a tendency to throw everything out so as to protect their airways
54;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Bei Obst entscheidet die Darreichungsform über die Wirkung
;#NV;Wird einem Baby Obst am Stück angeboten, wird es mit den Sinnen erforscht
;#NV;Bei Obst-Quetschies bleiben die Sinne passiv
;#NV;In Obst-Quetschies sind die natürlichen Zellstrukturen bereits zerlegt
;#NV;In Obst-Quetschies sind die Ballaststoffe zerteilt
;#NV;Bei Obst-Quetschies steht der Zucker direkt ohne Widerstand bereit
;#NV;Bei Obst-Quetschies bekommt der Körper schnell Energie, aber ohne den natürlichen Sättigungsprozess, denn der Körper hat keine Zeit, sich darauf einzustellen
;#NV;Beim Kauen entsteht viel Speichel
;#NV;Der Speichel dient dem Aufspalten (der Zellstrukturen und Ballaststoffe?)
;#NV;Der Speichel dient dem natürlichen Zahnschutz
;#NV;Durch weniger Kauen und weniger Speichel bleibt Zucker länger an den Zähnen
;#NV;Durch weniger Kauen und weniger Speichel bleibt Zucker dichter an den Zähnen
;#NV;Durch weniger Kauen und weniger Speichel bleibt Fruchtsäure länger an den Zähnen
;#NV;Durch weniger Kauen und weniger Speichel bleiben Fruchtsäure dichter an den Zähnen
;#NV;Die ersten 1000 Lebenstage sind eine prägende Phase für Geschmack
;#NV;Die ersten 1000 Lebenstage sind eine prägende Phase für Essvorlieben 
;#NV;Die ersten 1000 Lebenstage sind eine prägende Phase für den Stoffwechsel
;#NV;Es gibt Hinweise darauf, dass eine sehr frühe Aufnahme von Zucker und süßen Lebensmitteln die Geschmacksausprägung beeinflussen kann sodass Kinder zum Beispiel stärker Süßes bevorzugen
;#NV;Es gibt Hinweise darauf, dass eine sehr hohe Aufnahme von Zucker und süßen Lebensmitteln die Geschmacksausprägung beeinflussen kann sodass Kinder zum Beispiel stärker Süßes bevorzugen
;#NV;Das stärkere Bevorzugen von süßen Lebensmitteln kann Gemüse und weniger süße Lebensmittel später schwieriger machen kann 
;#NV;Kinder sollten keine Obst-Quetschies bekommen
;#NV;Für einen schnellen Snack eignen sich eher Gemüse-Quetschies statt Obst-Quetschies
76;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;A six month old baby can eat chicken
;#NV;A six month old baby does not need teeth to eat chicken
;#NV;Chicken has tons of macronutrients that help baby thrive
;#NV;Chicken has tons micronutrients that help baby thrive
;#NV;Chicken has proteins
;#NV;Chicken has fats
;#NV;Chicken has iron 
;#NV;When serving chicken to babies, it should be defrosted safely to decrease the chance of foodborne illnesses
;#NV;When serving chicken to babies, it should be cooked completely through to decrease the chance of foodborne illnesses
;#NV;It is suitible to season the chicken as normal before serving it to a baby
;#NV;It is suitible to season and bake the chicken as normal before serving it to a baby
